off_39BFC174 CSEnterWorld_0x000
off_39BFC180 CSTodayAssignment_0x031
off_39BFC770 CSRequestSkipClientDrivenIndun_0x072
off_39BFCBA8 CSRemoveClientNpc_0x0CD
off_39BFCC34 CSMoveUnit_0x094
off_39BFCED4 CSCofferInteraction_0x0A3
off_39BFCF7C CSRequestCommonFarmList_0x191
off_39BFD324 CSChallengeDuel_0x148
off_39BFD330 CSStartDuel_0x186
off_39BFE090 CSResturnAddrs_0x170
off_39BFE15C CSHeroRankingList_0x02F
off_39BFE168 CSHeroCandidateList_0x04A
off_39BFE174 CSHeroAbstain_0x010
off_39BFE180 CSHeroVoting_0x079
off_39BFEADC CSConvertItemLook_0x146
off_39BFEAE8 CSConvertItemLook2_0x0B1
off_39BFEC28 CSSetPingPos_0x086
off_39BFEC34 CSUpdateExploredRegion_0x0CF
off_39BFF1B0 CSICSMoneyRequest_0x05B
off_39BFF1BC CSPremiumServiceBuy_0x156
off_39BFF1C8 CSSetVisiblePremiumService_0x028
off_39BFF250 CSAddReputation_0x098
off_39BFF278 CSGetResidentDesc_0x03B
off_39BFF284 CSRefreshResidentMembers_0x16D
off_39BFF290 CSGetResidentZoneList_0x178
off_39BFF29C CSResidentFireNuonsArrow_0x00A
off_39BFF7B0 CSUseBlessUthstinInitStats_0x05A
off_39BFF7BC CSUseBlessUthstinExtendMaxStats_0x185
off_39BFF7C8 CSBlessUthstinUseApplyStatsItem_0x14C
off_39BFF7D4 CSBlessUthstinApplyStats_0x021
off_39C00C48 CSEventCenterAddAttendance_0x042
off_39C00C54 CSRequestGameEventInfo_0x039
off_39C0320C CSSendNationMemberCountList_0x058
off_39C03218 CSNationSendExpeditionImmigrationAcceptReject_0x0F6
off_39C03224 CSSendExpeditionImmigrationList_0x09D
off_39C03230 CSSendRelationFriend_0x15A
off_39C0323C CSSendRelationVote_0x016
off_39C03248 CSSendNationInfoSet_0x087
off_39C03254 CSSendNationInfoGet_0x06C
off_39C0412C CSRankCharacter_0x036
off_39C04138 CSRankSnapshot_0x018
off_39C04144 CSHeroRequestRankData_0x1A5
off_39C04150 CSGetRankerInformation_0x0C9
off_39C0415C CSRequestRankerAppearance_0x0FA
off_39C04940 CSRequestSecondPassKeyTables_0x164
off_39C05084 CSCreateSecondPass_0x11B
off_39C05090 CSChangeSecondPass_0x12B
off_39C0509C CSClearSecondPass_0x109
off_39C050A8 CSCheckSecondPass_0x09E
off_39C05144 CSReplyImprisonOrTrial_0x107
off_39C05150 CSSkipFinalStatement_0x13D
off_39C0515C CSReplyInviteJury_0x0DC
off_39C05168 CSJurySummoned_0x0B2
off_39C05174 CSJuryEndTestimony_0x193
off_39C05180 CSCancelTrial_0x05C
off_39C0518C CSJurySentence_0x09B
off_39C05198 CSReportCrime_0x0D4
off_39C051A4 CSRequestJuryWaitingNumber_0x175
off_39C051B0 CSRequestSetBounty_0x05F
off_39C051BC CSUpdateBounty_0x041
off_39C051C8 CSTrialReportBadUser_0x0BA
off_39C051D4 CSTrialRequestBadUserList_0x06E
off_39C055E4 CSSendUserMusic_0x067
off_39C055F0 CSSaveUserMusicNotes_0x0BD
off_39C055FC CSRequestMusicNotes_0x155
off_39C05608 CSPauseUserMusic_0x07A
off_39C05614 CSAppliedToInstantGame_0x114
off_39C05728 CSBagHandleSelectiveItems_0x068
off_39C06164 CSSkillControllerState_0x161
off_39C06170 CSMountMate_0x0E0
off_39C09C9C CSLeaveWorld_0x1A8
off_39C09CA8 CSCancelLeaveWorld_0x101
off_39C09CB4 CSIdleStatus_0x180
off_39C0FB30 CSChangeClientNpcTarget_0x149
off_39C13EF0 CSCompletedCinema_0x048
off_39C147DC CSCheckDemoMode_0x088
off_39C147E8 CSDemoCharReset_0x1AE
off_39C158B4 CSConsoleCmdUsed_0x035
off_39C15AC4 CSEditorGameMode_0x0DF
off_39C15C7C CSInteractGimmick_0x047
off_39C15E54 CSWorldRaycasting_0x138
off_39C16928 CSOpenExpeditionImmigrationRequest_0x04F
off_39C16934 CSNationGetNationName_0x043
off_39C16940 CSRefreshInCharacterList_0x030
off_39C1694C CSDeleteCharacter_0x0EC
off_39C16958 CSCancelCharacterDelete_0x076
off_39C16964 CSSelectCharacter_0x117
off_39C16970 CSCharacterConnectionRestrict_0x13C
off_39C1697C CSNotifyInGame_0x017
off_39C16988 CSNotifyInGameCompleted_0x140
off_39C16994 CSChangeTarget_0x1A0
off_39C169AC CSGetSiegeAuctionBidCurrency_0x1AA
off_39C169B8 CSResurrectCharacter_0x053
off_39C169C4 CSCriminalLocked_0x0B4
off_39C169D0 CSExpressEmotion_0x14B
off_39C169DC CSUnhang_0x032
off_39C169E8 CSChangeAppellation_0x03E
off_39C169F4 CSStartedCinema_0x0FB
off_39C16A00 CSHgResponse_0x0AF
off_39C16A0C CSBroadcastVisualOption_0x10D
off_39C16A18 CSBroadcastOpenEquipInfo_0x052
off_39C16A24 CSRestrictCheck_0x190
off_39C16A30 CSIcsMenuListRequest_0x034
off_39C16A3C CSIcsGoodsListRequest_0x012
off_39C16A48 CSIcsBuyGoodRequest_0x01A
off_39C16A54 CSPremiumServiceMsg_0x121
off_39C16A60 CSProtectSensitiveOperation_0x0B0
off_39C16A6C CSCancelSensitiveOperationVerify_0x090
off_39C16A78 CSAntibotData_0xfff
off_39C16A84 CSBuyAaPoint_0x154
off_39C16A90 CSRequestTencentFatigueInfo_0x084
off_39C16A9C CSPremiumServiceList_0x187
off_39C16AA8 CSRequestSysInstanceIndex_0x140
off_39C16AB4 CSQuitResponse_0x198
off_39C16AC0 CSSecurityReport_0x1AD
off_39C16ACC CSEnprotectStubCallResponse_0x18E
off_39C16AD8 CSRepresentCharacter_0x15F
off_39C1926C CSCreateCharacter_0x11E
off_39C19284 CSEditCharacter_0x179
off_39C1929C CSSpawnCharacter_0x0C7
off_39C1941C CSSpawnCharacter_0x116
off_39C20264 CSRsaencryptAeskeyXorkey_0x03F
off_39C208C8 CSNotifySubzone_0x015
off_39C209B4 CSSaveTutorial_0x173
off_39C269AC CSRequestUiData_0x009
off_39C269B8 CSSaveUiData_0x071
off_39C29F68 CSBeautyshopData_0x01B
off_39C35330 CSDominionUpdateTaxrate_0x18B
off_39C3533C CSDominionUpdateNationalTaxrate_0x0E3
off_39C35348 CSRequestCharacterBrief_0x0D7
off_39C35574 CSExpeditionCreate_0x02C
off_39C35580 CSExpeditionChangeRolePolicy_0x183
off_39C3558C CSExpeditionMemberRole_0x05E
off_39C35598 CSExpeditionChangeOwner_0x106
off_39C355A4 CSChangeNationOwner_0x06B
off_39C355B0 CSRenameFaction_0x176
off_39C355BC CSExpeditionDismiss_0x168
off_39C355C8 CSExpeditionInvite_0x089
off_39C355D4 CSExpeditionLeave_0x027
off_39C355E0 CSExpeditionKick_0x061
off_39C355EC CSExpeditionBeginnerJoin_0x19E
off_39C355F8 CSDeclareExpeditionWar_0x08F
off_39C35604 CSFactionGetDeclarationMoney_0x160
off_39C35610 CSRequestExpeditionWarKillScore_0x0CB
off_39C3561C CSFactionGetExpeditionWarHistory_0x133
off_39C35628 CSFactionCancelProtection_0x12F
off_39C35634 CSFactionImmigrationInvite_0x113
off_39C35640 CSFactionImmigrationInviteReply_0x1AC
off_39C3564C CSFactionImmigrateToOrigin_0x1A2
off_39C35658 CSFactionKickToOrigin_0x11C
off_39C35664 CSFactionMobilizationOrder_0x0B3
off_39C35670 CSFactionCheckExpeditionExpNextDay_0x0BC
off_39C3567C CSFactionSetExpeditionLevelUp_0x045
off_39C35688 CSFactionSetExpeditionMotd_0x123
off_39C35694 CSFactionSetMyExpeditionInterest_0x18F
off_39C356CC CSExpeditionReplyInvitation_0x172
off_39C35EF8 CSFamilyInviteMember_0x0DA
off_39C35F04 CSFamilyLeave_0x0FD
off_39C35F10 CSFamilyKick_0x029
off_39C35F1C CSFamilyChangeTitle_0x197
off_39C35F28 CSFamilyChangeOwner_0x0F0
off_39C35F34 CSFamilySetName_0x102
off_39C35F40 CSFamilySetContent_0x11A
off_39C35F4C CSFamilyOpenIncreaseMember_0x014
off_39C35F58 CSFamilyChangeMemberRole_0x19C
off_39C35F84 CSFamilyReplyInvitation_0x14A
off_39C3610C CSAddFriend_0x0C0
off_39C36118 CSDeleteFriend_0x158
off_39C36124 CSAddBlockedUser_0x1AB
off_39C36130 CSDeleteBlockedUser_0x182
off_39C36284 CSInviteAreaToTeam_0x134
off_39C36298 CSInviteToTeam_0x0EF
off_39C362A4 CSReplyToJoinTeam_0x0BB
off_39C362B0 CSLeaveTeam_0x02A
off_39C362BC CSKickTeamMember_0x126
off_39C362C8 CSMakeTeamOwner_0x128
off_39C362D4 CSConvertToRaidteam_0x13B
off_39C362E0 CSMoveTeamMember_0x0A5
off_39C362EC CSDismissTeam_0x169
off_39C362F8 CSSetTeamMemberRole_0x082
off_39C36304 CSSetOverHeadMarker_0x0F9
